,price,size_in_sqf,number_of_bath,number_of_bed,full_location,location_area,purpose_of_listing,type_of_listing,completion_status
6554,4500000.0,950.0,2,2,"West Shewrapara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6555,4500000.0,950.0,2,2,"West Shewrapara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6556,4500000.0,950.0,2,2,"West Shewrapara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6557,11299999.999999998,1508.0,3,3,"Block H, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
6558,8239000.0,1194.0,3,3,"Jagannathpur, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6559,4200000.0,1050.0,3,3,"Matikata, Cantonment, Dhaka",Cantonment,For Sale,Apartment,Ready
6560,3668000.0,917.0,2,2,"2nd Colony, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6561,9500000.0,1150.0,2,2,"Tejgaon, Dhaka",Tejgaon,For Sale,Apartment,Ready
6562,3300000.0,550.0,2,2,"Gandaria, Sutrapur, Dhaka",Sutrapur,For Sale,Apartment,Ready
6563,3500000.0,650.0,2,2,"Block C, Section 6, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6564,5850000.0,1300.0,3,3,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6565,11399999.999999998,1750.0,4,3,"Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6566,11500000.0,1650.0,3,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
6567,4775000.0,1125.0,2,3,"Faydabad, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6568,4775000.0,1125.0,2,3,"Faydabad, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6569,4775000.0,1125.0,2,3,"Faydabad, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6570,2280000.0,600.0,2,2,"Transmitter, Faydabad, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6571,8000000.0,1630.0,4,3,"Ibrahimpur, Dhaka",Ibrahimpur,For Sale,Apartment,Ready
6572,4400000.0,1100.0,3,3,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6573,3400000.0,1010.0,2,3,"Matuail, Demra, Dhaka",Demra,For Sale,Apartment,Ready
6574,9500000.0,1287.0,3,3,"Tejkunipara, Tejgaon, Dhaka",Tejgaon,For Sale,Apartment,Ready
6575,2750000.0,900.0,2,3,"Matuail, Demra, Dhaka",Demra,For Sale,Apartment,Ready
6576,3800000.0,950.0,2,3,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6577,3800000.0,950.0,2,3,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6578,3800000.0,950.0,2,3,"Block C, Chandrima Model Town, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6579,3000000.0,1041.0,2,2,"Konapara, Demra, Dhaka",Demra,For Sale,Apartment,Ready
6580,3200000.0,800.0,2,2,"Block B, Chandrima Model Town, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6581,20000000.0,2200.0,5,4,"Avenue 11, Mirpur DOHS, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6582,3700000.0,930.0,2,2,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6583,4000000.0,930.0,2,2,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6584,4500000.0,930.0,2,2,"PC Culture Housing, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6585,4700000.0,900.0,2,2,"Priyanka City, Sector 12, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6586,4700000.0,900.0,2,2,"Priyanka City, Sector 12, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6587,20000000.0,1750.0,4,3,"Banani, Dhaka",Banani,For Sale,Apartment,Ready
6588,4700000.0,1020.0,2,3,"Gawair, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6589,26000000.0,2900.0,4,4,"Sector 1, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6590,22000000.0,1800.0,3,3,"Sector 4, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6591,4342000.0,965.0,3,3,"Manikdi, Cantonment, Dhaka",Cantonment,For Sale,Apartment,Ready
6592,4595000.0,1021.0,3,3,"Manikdi, Cantonment, Dhaka",Cantonment,For Sale,Apartment,Ready
6593,9520000.0,1400.0,3,3,"Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6594,17500000.0,2170.0,4,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6595,17500000.0,2170.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6596,200000000.0,5760.0,10,15,"Wari, Sutrapur, Dhaka",Sutrapur,For Sale,Building,Ready
6597,9240000.0,1155.0,3,3,"Kathalbagan, Dhaka",Kathalbagan,For Sale,Apartment,Ready
6598,3550000.0,650.0,2,2,"Amligola, Lalbagh, Dhaka",Lalbagh,For Sale,Apartment,Ready
6599,5000000.0,1083.0,3,2,"22 Bari, West Kazipara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6600,10500000.0,1517.0,3,3,"Sector 12, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6601,7900000.0,1300.0,3,3,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6602,6000000.0,990.0,2,3,"Jigatola, Hazaribag, Dhaka",Hazaribag,For Sale,Apartment,Ready
6603,8000000.0,1150.0,2,3,"Kalabagan, Dhaka",Kalabagan,For Sale,Apartment,Ready
6604,4300000.0,1100.0,2,3,"Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6605,4300000.0,1100.0,2,3,"Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6606,4000000.0,1000.0,2,3,"Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6607,4300000.0,1100.0,2,3,"Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6608,8000000.0,2000.0,4,4,"Block B, Bashundhara Riverview, South Keraniganj, Keraniganj, Dhaka",Keraniganj,For Sale,Apartment,Ready
6609,5200000.0,1150.0,2,3,"West Mollartek, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
